alpha,beta,exposure,base_gap,recent_events,final_value,pnl,max_drawdown,sharpe,num_trades
0.5,0.2,0.3,0.5,5,109587.5,9587.5,0.203947518124269,0.012531247531232657,19
0.5,0.2,0.3,0.5,8,109587.5,9587.5,0.203947518124269,0.012531247531232657,19
0.5,0.2,0.3,0.5,12,109587.5,9587.5,0.203947518124269,0.012531247531232657,19
0.5,0.2,0.3,1.0,5,109587.5,9587.5,0.203947518124269,0.012531247531232657,19
0.5,0.2,0.3,1.0,8,109587.5,9587.5,0.203947518124269,0.012531247531232657,19
0.5,0.2,0.3,1.0,12,109587.5,9587.5,0.203947518124269,0.012531247531232657,19
0.5,0.2,0.3,2.0,5,109587.5,9587.5,0.203947518124269,0.012531247531232657,19
0.5,0.2,0.3,2.0,8,109587.5,9587.5,0.203947518124269,0.012531247531232657,19
0.5,0.2,0.3,2.0,12,109587.5,9587.5,0.203947518124269,0.012531247531232657,19
0.5,0.5,0.1,0.5,5,111689.0,11689.0,0.19660771726124127,0.01473101605261128,19
0.5,0.5,0.1,0.5,8,111689.0,11689.0,0.19660771726124127,0.01473101605261128,19
0.5,0.5,0.1,0.5,12,111689.0,11689.0,0.19660771726124127,0.01473101605261128,19
0.5,0.5,0.1,1.0,5,111689.0,11689.0,0.19660771726124127,0.01473101605261128,19
0.5,0.5,0.1,1.0,8,111689.0,11689.0,0.19660771726124127,0.01473101605261128,19
0.5,0.5,0.1,1.0,12,111689.0,11689.0,0.19660771726124127,0.01473101605261128,19
0.5,0.5,0.1,2.0,5,111689.0,11689.0,0.19660771726124127,0.01473101605261128,19
0.5,0.5,0.1,2.0,8,111689.0,11689.0,0.19660771726124127,0.01473101605261128,19
0.5,0.5,0.1,2.0,12,111689.0,11689.0,0.19660771726124127,0.01473101605261128,19
0.5,0.5,0.2,0.5,5,111689.0,11689.0,0.19660771726124127,0.01473101605261128,19
0.5,0.5,0.2,0.5,8,111689.0,11689.0,0.19660771726124127,0.01473101605261128,19
0.5,0.5,0.2,0.5,12,111689.0,11689.0,0.19660771726124127,0.01473101605261128,19
0.5,0.5,0.2,1.0,5,111689.0,11689.0,0.19660771726124127,0.01473101605261128,19
0.5,0.5,0.2,1.0,8,111689.0,11689.0,0.19660771726124127,0.01473101605261128,19
0.5,0.5,0.2,1.0,12,111689.0,11689.0,0.19660771726124127,0.01473101605261128,19
0.5,0.5,0.2,2.0,5,111689.0,11689.0,0.19660771726124127,0.01473101605261128,19
0.5,0.5,0.2,2.0,8,111689.0,11689.0,0.19660771726124127,0.01473101605261128,19
0.5,0.5,0.2,2.0,12,111689.0,11689.0,0.19660771726124127,0.01473101605261128,19
0.5,0.5,0.3,0.5,5,111689.0,11689.0,0.19660771726124127,0.01473101605261128,19
0.5,0.5,0.3,0.5,8,111689.0,11689.0,0.19660771726124127,0.01473101605261128,19
0.5,0.5,0.3,0.5,12,111689.0,11689.0,0.19660771726124127,0.01473101605261128,19
0.5,0.5,0.3,1.0,5,111689.0,11689.0,0.19660771726124127,0.01473101605261128,19
